Date,CPI - monthly data (annual rate of change),Federal Funds,Discount Window,Bank Prime Loan
1990-01-01,5.202,7.97,0.0,10.5
1990-01-02,5.202,8.54,0.0,10.5
1990-01-03,5.202,8.37,0.0,10.5
1990-01-04,5.202,8.29,0.0,10.5
1990-01-05,5.202,8.2,0.0,10.5
1990-01-06,5.202,8.2,0.0,10.5
1990-01-07,5.202,8.2,0.0,10.5
1990-01-08,5.202,8.27,0.0,10.0
1990-01-09,5.202,8.25,0.0,10.0
1990-01-10,5.202,8.12,0.0,10.0
1990-01-11,5.202,8.21,0.0,10.0
1990-01-12,5.202,8.16,0.0,10.0
1990-01-13,5.202,8.16,0.0,10.0
1990-01-14,5.202,8.16,0.0,10.0
1990-01-15,5.202,8.16,0.0,10.0
1990-01-16,5.202,8.31,0.0,10.0
1990-01-17,5.202,8.26,0.0,10.0
1990-01-18,5.202,8.23,0.0,10.0
1990-01-19,5.202,8.19,0.0,10.0
1990-01-20,5.202,8.19,0.0,10.0
1990-01-21,5.202,8.19,0.0,10.0
1990-01-22,5.202,8.19,0.0,10.0
1990-01-23,5.202,8.19,0.0,10.0
1990-01-24,5.202,8.4,0.0,10.0
1990-01-25,5.202,8.24,0.0,10.0
1990-01-26,5.202,8.24,0.0,10.0
1990-01-27,5.202,8.24,0.0,10.0
1990-01-28,5.202,8.24,0.0,10.0
1990-01-29,5.202,8.24,0.0,10.0
1990-01-30,5.202,8.23,0.0,10.0
1990-01-31,5.202,8.26,0.0,10.0
1990-02-01,5.263,8.25,0.0,10.0
1990-02-02,5.263,8.23,0.0,10.0
1990-02-03,5.263,8.23,0.0,10.0
1990-02-04,5.263,8.23,0.0,10.0
1990-02-05,5.263,8.22,0.0,10.0
1990-02-06,5.263,8.19,0.0,10.0
1990-02-07,5.263,8.22,0.0,10.0
1990-02-08,5.263,8.21,0.0,10.0
1990-02-09,5.263,8.21,0.0,10.0
1990-02-10,5.263,8.21,0.0,10.0
1990-02-11,5.263,8.21,0.0,10.0
1990-02-12,5.263,8.21,0.0,10.0
1990-02-13,5.263,8.21,0.0,10.0
1990-02-14,5.263,8.21,0.0,10.0
1990-02-15,5.263,8.32,0.0,10.0
1990-02-16,5.263,8.19,0.0,10.0
1990-02-17,5.263,8.19,0.0,10.0
1990-02-18,5.263,8.19,0.0,10.0
1990-02-19,5.263,8.19,0.0,10.0
1990-02-20,5.263,8.24,0.0,10.0
1990-02-21,5.263,8.41,0.0,10.0
1990-02-22,5.263,8.28,0.0,10.0
1990-02-23,5.263,8.25,0.0,10.0
1990-02-24,5.263,8.25,0.0,10.0
1990-02-25,5.263,8.25,0.0,10.0
1990-02-26,5.263,8.28,0.0,10.0
1990-02-27,5.263,8.27,0.0,10.0
1990-02-28,5.263,8.29,0.0,10.0
1990-03-01,5.233,8.3,0.0,10.0
1990-03-02,5.233,8.27,0.0,10.0
1990-03-03,5.233,8.27,0.0,10.0
1990-03-04,5.233,8.27,0.0,10.0
1990-03-05,5.233,8.24,0.0,10.0
1990-03-06,5.233,8.21,0.0,10.0
1990-03-07,5.233,8.4,0.0,10.0
1990-03-08,5.233,8.3,0.0,10.0
1990-03-09,5.233,8.29,0.0,10.0
1990-03-10,5.233,8.29,0.0,10.0
1990-03-11,5.233,8.29,0.0,10.0
1990-03-12,5.233,8.28,0.0,10.0
1990-03-13,5.233,8.23,0.0,10.0
1990-03-14,5.233,8.21,0.0,10.0
1990-03-15,5.233,8.29,0.0,10.0
1990-03-16,5.233,8.22,0.0,10.0
1990-03-17,5.233,8.22,0.0,10.0
1990-03-18,5.233,8.22,0.0,10.0
1990-03-19,5.233,8.24,0.0,10.0
1990-03-20,5.233,8.26,0.0,10.0
1990-03-21,5.233,8.47,0.0,10.0
1990-03-22,5.233,8.28,0.0,10.0
1990-03-23,5.233,8.25,0.0,10.0
1990-03-24,5.233,8.25,0.0,10.0
1990-03-25,5.233,8.25,0.0,10.0
1990-03-26,5.233,8.25,0.0,10.0
1990-03-27,5.233,8.26,0.0,10.0
1990-03-28,5.233,8.3,0.0,10.0
1990-03-29,5.233,8.37,0.0,10.0
1990-03-30,5.233,8.3,0.0,10.0
1990-03-31,5.233,8.3,0.0,10.0
1990-04-01,4.712,8.3,0.0,10.0
1990-04-02,4.712,8.34,0.0,10.0
1990-04-03,4.712,8.31,0.0,10.0
1990-04-04,4.712,8.37,0.0,10.0
1990-04-05,4.712,8.31,0.0,10.0
1990-04-06,4.712,8.26,0.0,10.0
1990-04-07,4.712,8.26,0.0,10.0
1990-04-08,4.712,8.26,0.0,10.0
1990-04-09,4.712,8.24,0.0,10.0
1990-04-10,4.712,8.21,0.0,10.0
1990-04-11,4.712,8.2,0.0,10.0
1990-04-12,4.712,8.21,0.0,10.0
1990-04-13,4.712,8.18,0.0,10.0
1990-04-14,4.712,8.18,0.0,10.0
1990-04-15,4.712,8.18,0.0,10.0
1990-04-16,4.712,8.31,0.0,10.0
1990-04-17,4.712,8.39,0.0,10.0
1990-04-18,4.712,8.46,0.0,10.0
1990-04-19,4.712,8.31,0.0,10.0
1990-04-20,4.712,8.24,0.0,10.0
1990-04-21,4.712,8.24,0.0,10.0
1990-04-22,4.712,8.24,0.0,10.0
1990-04-23,4.712,8.25,0.0,10.0
1990-04-24,4.712,8.21,0.0,10.0
1990-04-25,4.712,8.21,0.0,10.0
1990-04-26,4.712,8.21,0.0,10.0
1990-04-27,4.712,8.18,0.0,10.0
1990-04-28,4.712,8.18,0.0,10.0
1990-04-29,4.712,8.18,0.0,10.0
1990-04-30,4.712,8.23,0.0,10.0
1990-05-01,4.362,8.11,0.0,10.0
1990-05-02,4.362,7.73,0.0,10.0
1990-05-03,4.362,8.19,0.0,10.0
1990-05-04,4.362,8.21,0.0,10.0
1990-05-05,4.362,8.21,0.0,10.0
1990-05-06,4.362,8.21,0.0,10.0
1990-05-07,4.362,8.23,0.0,10.0
1990-05-08,4.362,8.2,0.0,10.0
1990-05-09,4.362,8.18,0.0,10.0
1990-05-10,4.362,8.23,0.0,10.0
1990-05-11,4.362,8.24,0.0,10.0
1990-05-12,4.362,8.24,0.0,10.0
1990-05-13,4.362,8.24,0.0,10.0
1990-05-14,4.362,8.27,0.0,10.0
1990-05-15,4.362,8.34,0.0,10.0
1990-05-16,4.362,7.53,0.0,10.0
1990-05-17,4.362,8.2,0.0,10.0
1990-05-18,4.362,8.22,0.0,10.0
1990-05-19,4.362,8.22,0.0,10.0
1990-05-20,4.362,8.22,0.0,10.0
1990-05-21,4.362,8.24,0.0,10.0
1990-05-22,4.362,8.22,0.0,10.0
1990-05-23,4.362,8.24,0.0,10.0
1990-05-24,4.362,8.29,0.0,10.0
1990-05-25,4.362,8.27,0.0,10.0
1990-05-26,4.362,8.27,0.0,10.0
1990-05-27,4.362,8.27,0.0,10.0
1990-05-28,4.362,8.27,0.0,10.0
1990-05-29,4.362,8.26,0.0,10.0
1990-05-30,4.362,7.69,0.0,10.0
1990-05-31,4.362,8.23,0.0,10.0
1990-06-01,4.674,8.28,0.0,10.0
1990-06-02,4.674,8.28,0.0,10.0
1990-06-03,4.674,8.28,0.0,10.0
1990-06-04,4.674,8.28,0.0,10.0
1990-06-05,4.674,8.27,0.0,10.0
1990-06-06,4.674,8.22,0.0,10.0
1990-06-07,4.674,8.25,0.0,10.0
1990-06-08,4.674,8.26,0.0,10.0
1990-06-09,4.674,8.26,0.0,10.0
1990-06-10,4.674,8.26,0.0,10.0
1990-06-11,4.674,8.26,0.0,10.0
1990-06-12,4.674,8.23,0.0,10.0
1990-06-13,4.674,8.61,0.0,10.0
1990-06-14,4.674,8.29,0.0,10.0
1990-06-15,4.674,8.29,0.0,10.0
1990-06-16,4.674,8.29,0.0,10.0
1990-06-17,4.674,8.29,0.0,10.0
1990-06-18,4.674,8.28,0.0,10.0
1990-06-19,4.674,8.25,0.0,10.0
1990-06-20,4.674,8.24,0.0,10.0
1990-06-21,4.674,8.25,0.0,10.0
1990-06-22,4.674,8.24,0.0,10.0
1990-06-23,4.674,8.24,0.0,10.0
1990-06-24,4.674,8.24,0.0,10.0
1990-06-25,4.674,8.3,0.0,10.0
1990-06-26,4.674,8.33,0.0,10.0
1990-06-27,4.674,8.39,0.0,10.0
1990-06-28,4.674,8.36,0.0,10.0
1990-06-29,4.674,8.32,0.0,10.0
1990-06-30,4.674,8.32,0.0,10.0
1990-07-01,4.823,8.32,0.0,10.0
1990-07-02,4.823,8.35,0.0,10.0
1990-07-03,4.823,8.32,0.0,10.0
1990-07-04,4.823,8.32,0.0,10.0
1990-07-05,4.823,8.32,0.0,10.0
1990-07-06,4.823,8.32,0.0,10.0
1990-07-07,4.823,8.32,0.0,10.0
1990-07-08,4.823,8.32,0.0,10.0
1990-07-09,4.823,8.33,0.0,10.0
1990-07-10,4.823,8.34,0.0,10.0
1990-07-11,4.823,8.01,0.0,10.0
1990-07-12,4.823,8.29,0.0,10.0
1990-07-13,4.823,8.18,0.0,10.0
1990-07-14,4.823,8.18,0.0,10.0
